Año,Alcaldía,Grupo de edad,Población
2000,Cuajimalpa de Morelos,35 a 39 años,11970
2000,Cuajimalpa de Morelos,40 a 44 años,9136
2000,Cuajimalpa de Morelos,45 a 49 años,6472
2000,Cuajimalpa de Morelos,50 a 54 años,5173
2000,Cuajimalpa de Morelos,55 a 59 años,3522
2000,Cuajimalpa de Morelos,60 a 64 años,2972
2000,Cuajimalpa de Morelos,65 a 69 años,2166
2000,Cuajimalpa de Morelos,70 a 74 años,1472
2000,Cuajimalpa de Morelos,75 a 79 años,886
2000,Cuajimalpa de Morelos,80 a 84 años,439
2000,Cuajimalpa de Morelos,85 a 89 años,284
2000,Cuajimalpa de Morelos,90 a 94 años,94
2000,Cuajimalpa de Morelos,95 a 99 años,50
2000,Cuajimalpa de Morelos,100 años y más,13
2000,Cuajimalpa de Morelos,No especificado,3902
2000,Cuauhtémoc,0 a 4 años,36413
2000,Cuauhtémoc,5 a 9 años,38930
2000,Cuauhtémoc,10 a 14 años,40087
2000,Cuauhtémoc,15 a 19 años,44454
2000,Cuauhtémoc,20 a 24 años,46487
2000,Cuauhtémoc,25 a 29 años,47065
2000,Cuauhtémoc,30 a 34 años,41922
2000,Cuauhtémoc,35 a 39 años,39913
2000,Cuauhtémoc,40 a 44 años,36192
2000,Cuauhtémoc,45 a 49 años,29226
2000,Cuauhtémoc,50 a 54 años,24990
2000,Cuauhtémoc,55 a 59 años,18392
2000,Cuauhtémoc,60 a 64 años,16852
2000,Cuauhtémoc,65 a 69 años,13511
2000,Cuauhtémoc,70 a 74 años,11446
2000,Cuauhtémoc,75 a 79 años,8192
2000,Cuauhtémoc,80 a 84 años,4862
2000,Cuauhtémoc,85 a 89 años,2943
2000,Cuauhtémoc,90 a 94 años,1198
2000,Cuauhtémoc,95 a 99 años,417
2000,Cuauhtémoc,100 años y más,97
2000,Cuauhtémoc,No especificado,12666
2000,Gustavo A. Madero,0 a 4 años,104475
2000,Gustavo A. Madero,5 a 9 años,109559
2000,Gustavo A. Madero,10 a 14 años,106102
2000,Gustavo A. Madero,15 a 19 años,113687
2000,Gustavo A. Madero,20 a 24 años,118692
2000,Gustavo A. Madero,25 a 29 años,122634
2000,Gustavo A. Madero,30 a 34 años,107010
2000,Gustavo A. Madero,35 a 39 años,93644
2000,Gustavo A. Madero,40 a 44 años,77567
2000,Gustavo A. Madero,45 a 49 años,60902
2000,Gustavo A. Madero,50 a 54 años,53008
2000,Gustavo A. Madero,55 a 59 años,40564
2000,Gustavo A. Madero,60 a 64 años,35887
2000,Gustavo A. Madero,65 a 69 años,27788
2000,Gustavo A. Madero,70 a 74 años,21025
2000,Gustavo A. Madero,75 a 79 años,14427
2000,Gustavo A. Madero,80 a 84 años,7809
2000,Gustavo A. Madero,85 a 89 años,4540
2000,Gustavo A. Madero,90 a 94 años,1783
2000,Gustavo A. Madero,95 a 99 años,764
2000,Gustavo A. Madero,100 años y más,197
2000,Gustavo A. Madero,No especificado,13478
2000,Iztacalco,0 a 4 años,33780
2000,Iztacalco,5 a 9 años,35577
2000,Iztacalco,10 a 14 años,34149
2000,Iztacalco,15 a 19 años,36486
2000,Iztacalco,20 a 24 años,38166
2000,Iztacalco,25 a 29 años,40812
2000,Iztacalco,30 a 34 años,35459
2000,Iztacalco,35 a 39 años,31784
2000,Iztacalco,40 a 44 años,26864
2000,Iztacalco,45 a 49 años,20837
2000,Iztacalco,50 a 54 años,17852
2000,Iztacalco,55 a 59 años,13550
2000,Iztacalco,60 a 64 años,12237
2000,Iztacalco,65 a 69 años,9955
2000,Iztacalco,70 a 74 años,7715
2000,Iztacalco,75 a 79 años,5061
2000,Iztacalco,80 a 84 años,2623
2000,Iztacalco,85 a 89 años,1544
2000,Iztacalco,90 a 94 años,544
2000,Iztacalco,95 a 99 años,253
2000,Iztacalco,100 años y más,50
2000,Iztacalco,No especificado,6023
2000,Iztapalapa,0 a 4 años,175764
2000,Iztapalapa,5 a 9 años,178815
2000,Iztapalapa,10 a 14 años,170027
2000,Iztapalapa,15 a 19 años,173833
2000,Iztapalapa,20 a 24 años,178920
2000,Iztapalapa,25 a 29 años,177522
2000,Iztapalapa,30 a 34 años,151294
2000,Iztapalapa,35 a 39 años,133588
2000,Iztapalapa,40 a 44 años,109362
2000,Iztapalapa,45 a 49 años,84584
2000,Iztapalapa,50 a 54 años,68121
2000,Iztapalapa,55 a 59 años,47022
2000,Iztapalapa,60 a 64 años,36270
2000,Iztapalapa,65 a 69 años,26368
2000,Iztapalapa,70 a 74 años,18667
2000,Iztapalapa,75 a 79 años,12259
2000,Iztapalapa,80 a 84 años,6364
2000,Iztapalapa,85 a 89 años,3831
2000,Iztapalapa,90 a 94 años,1460
2000,Iztapalapa,95 a 99 años,722
2000,Iztapalapa,100 años y más,200
2000,Iztapalapa,No especificado,18350
2000,La Magdalena Contreras,0 a 4 años,20332
2000,La Magdalena Contreras,5 a 9 años,21050
2000,La Magdalena Contreras,10 a 14 años,19745
2000,La Magdalena Contreras,15 a 19 años,20886
2000,La Magdalena Contreras,20 a 24 años,22243
2000,La Magdalena Contreras,25 a 29 años,22148
2000,La Magdalena Contreras,30 a 34 años,18899
2000,La Magdalena Contreras,35 a 39 años,16440
2000,La Magdalena Contreras,40 a 44 años,13479
2000,La Magdalena Contreras,45 a 49 años,10846
2000,La Magdalena Contreras,50 a 54 años,9073
2000,La Magdalena Contreras,55 a 59 años,6493
2000,La Magdalena Contreras,60 a 64 años,5130
2000,La Magdalena Contreras,65 a 69 años,4033
2000,La Magdalena Contreras,70 a 74 años,2973
2000,La Magdalena Contreras,75 a 79 años,1990
2000,La Magdalena Contreras,80 a 84 años,1050
2000,La Magdalena Contreras,85 a 89 años,573
2000,La Magdalena Contreras,90 a 94 años,234
2000,La Magdalena Contreras,95 a 99 años,123
2000,La Magdalena Contreras,100 años y más,21
2000,La Magdalena Contreras,No especificado,4289
2000,Miguel Hidalgo,0 a 4 años,23752
2000,Miguel Hidalgo,5 a 9 años,24448
2000,Miguel Hidalgo,10 a 14 años,25266
2000,Miguel Hidalgo,15 a 19 años,30713
2000,Miguel Hidalgo,20 a 24 años,32829
2000,Miguel Hidalgo,25 a 29 años,32928
2000,Miguel Hidalgo,30 a 34 años,29494
2000,Miguel Hidalgo,35 a 39 años,26846
2000,Miguel Hidalgo,40 a 44 años,23612
2000,Miguel Hidalgo,45 a 49 años,19499
2000,Miguel Hidalgo,50 a 54 años,17637
2000,Miguel Hidalgo,55 a 59 años,13162
2000,Miguel Hidalgo,60 a 64 años,11604
2000,Miguel Hidalgo,65 a 69 años,9908
2000,Miguel Hidalgo,70 a 74 años,8098
2000,Miguel Hidalgo,75 a 79 años,5979
2000,Miguel Hidalgo,80 a 84 años,3583
2000,Miguel Hidalgo,85 a 89 años,2215
2000,Miguel Hidalgo,90 a 94 años,948
2000,Miguel Hidalgo,95 a 99 años,322
2000,Miguel Hidalgo,100 años y más,49
2000,Miguel Hidalgo,No especificado,9748
2000,Milpa Alta,0 a 4 años,10255
2000,Milpa Alta,5 a 9 años,11198
2000,Milpa Alta,10 a 14 años,10226
2000,Milpa Alta,15 a 19 años,9784
2000,Milpa Alta,20 a 24 años,9276
2000,Milpa Alta,25 a 29 años,8914
2000,Milpa Alta,30 a 34 años,8080
2000,Milpa Alta,35 a 39 años,7152
2000,Milpa Alta,40 a 44 años,5473
2000,Milpa Alta,45 a 49 años,3912
2000,Milpa Alta,50 a 54 años,3172
2000,Milpa Alta,55 a 59 años,2223
2000,Milpa Alta,60 a 64 años,1903
2000,Milpa Alta,65 a 69 años,1496
2000,Milpa Alta,70 a 74 años,1146
2000,Milpa Alta,75 a 79 años,739
2000,Milpa Alta,80 a 84 años,283
2000,Milpa Alta,85 a 89 años,200
2000,Milpa Alta,90 a 94 años,79
2000,Milpa Alta,95 a 99 años,61
2000,Milpa Alta,100 años y más,16
2000,Milpa Alta,No especificado,1185
2000,Tláhuac,0 a 4 años,32244
2000,Tláhuac,5 a 9 años,33432
2000,Tláhuac,10 a 14 años,30037
2000,Tláhuac,15 a 19 años,28863
2000,Tláhuac,20 a 24 años,29094
2000,Tláhuac,25 a 29 años,30307
2000,Tláhuac,30 a 34 años,27619
2000,Tláhuac,35 a 39 años,23645
2000,Tláhuac,40 a 44 años,17925
2000,Tláhuac,45 a 49 años,12965
2000,Tláhuac,50 a 54 años,10098
2000,Tláhuac,55 a 59 años,6700
2000,Tláhuac,60 a 64 años,5448
2000,Tláhuac,65 a 69 años,3923
2000,Tláhuac,70 a 74 años,2703
2000,Tláhuac,75 a 79 años,1758
2000,Tláhuac,80 a 84 años,903
2000,Tláhuac,85 a 89 años,537
2000,Tláhuac,90 a 94 años,191
2000,Tláhuac,95 a 99 años,112
2000,Tláhuac,100 años y más,27
2000,Tláhuac,No especificado,4259
2000,Tlalpan,0 a 4 años,51014
2000,Tlalpan,5 a 9 años,52729
2000,Tlalpan,10 a 14 años,51857
2000,Tlalpan,15 a 19 años,57398
2000,Tlalpan,20 a 24 años,60017
2000,Tlalpan,25 a 29 años,56907
2000,Tlalpan,30 a 34 años,47999
2000,Tlalpan,35 a 39 años,43681
2000,Tlalpan,40 a 44 años,38409
2000,Tlalpan,45 a 49 años,30681
2000,Tlalpan,50 a 54 años,25370
2000,Tlalpan,55 a 59 años,17541
2000,Tlalpan,60 a 64 años,13503
2000,Tlalpan,65 a 69 años,9220
2000,Tlalpan,70 a 74 años,6742
2000,Tlalpan,75 a 79 años,4604
2000,Tlalpan,80 a 84 años,2475
2000,Tlalpan,85 a 89 años,1536
2000,Tlalpan,90 a 94 años,607
2000,Tlalpan,95 a 99 años,262
2000,Tlalpan,100 años y más,70
2000,Tlalpan,No especificado,9159
2000,Venustiano Carranza,0 a 4 años,36932
2000,Venustiano Carranza,5 a 9 años,39133
2000,Venustiano Carranza,10 a 14 años,39041
2000,Venustiano Carranza,15 a 19 años,41159
2000,Venustiano Carranza,20 a 24 años,41783
2000,Venustiano Carranza,25 a 29 años,42958
2000,Venustiano Carranza,30 a 34 años,38409
2000,Venustiano Carranza,35 a 39 años,36426
2000,Venustiano Carranza,40 a 44 años,31051
2000,Venustiano Carranza,45 a 49 años,24088
2000,Venustiano Carranza,50 a 54 años,20550
2000,Venustiano Carranza,55 a 59 años,15332
2000,Venustiano Carranza,60 a 64 años,14466
2000,Venustiano Carranza,65 a 69 años,11436
2000,Venustiano Carranza,70 a 74 años,9399
2000,Venustiano Carranza,75 a 79 años,6852
2000,Venustiano Carranza,80 a 84 años,3750
2000,Venustiano Carranza,85 a 89 años,2220
2000,Venustiano Carranza,90 a 94 años,873
2000,Venustiano Carranza,95 a 99 años,325
2000,Venustiano Carranza,100 años y más,61
2000,Venustiano Carranza,No especificado,6562
2000,Xochimilco,0 a 4 años,34966
2000,Xochimilco,5 a 9 años,36718
2000,Xochimilco,10 a 14 años,35637
2000,Xochimilco,15 a 19 años,36764
2000,Xochimilco,20 a 24 años,36919
2000,Xochimilco,25 a 29 años,35094
2000,Xochimilco,30 a 34 años,31204
2000,Xochimilco,35 a 39 años,27852
2000,Xochimilco,40 a 44 años,23027
2000,Xochimilco,45 a 49 años,17746
2000,Xochimilco,50 a 54 años,14600
2000,Xochimilco,55 a 59 años,9921
2000,Xochimilco,60 a 64 años,7538
2000,Xochimilco,65 a 69 años,5694
2000,Xochimilco,70 a 74 años,3939
2000,Xochimilco,75 a 79 años,2757
2000,Xochimilco,80 a 84 años,1493
2000,Xochimilco,85 a 89 años,935
2000,Xochimilco,90 a 94 años,394
2000,Xochimilco,95 a 99 años,195
2000,Xochimilco,100 años y más,53
2000,Xochimilco,No especificado,6341
